Album_Name,Artist,Album_ID,Album_Name_Spotify,Artists_Spotify
Not for Kids Only,"David Grisman, Jerry Garcia",04Pcnr0XxfUjABKJGesMnb,Not For Kids Only,"['Jerry Garcia', 'David Grisman']"
Finding Nemo Soundtrack,Various Artists,6Jlc1ESl3gRnF4u4M7OKVC,Finding Nemo: The Musical,['Various Artists']
Ella Jenkins: Early Early Childhood Songs,Ella Jenkins,4x4UeugTlaw1MPlvWFd4vT,Early Early Childhood Songs,['Ella Jenkins']
Taxi,"David Weinstone, Music for Aardvarks and Other Mammals",0Su23YyUD0OyafVwOP22HP,Taxi Driver,"['Bernard Herrmann', 'Original Soundtrack']"
The Pirates Who Don't Do Anything Soundtrack,Various Artists,4m2xIyzCsxSxkQgm391bnn,The Pirates Who Don't Do Anything - A Veggietales Movie Soundtrack,['Various Artists']
Where the Wild Things Are Soundtrack,Karen O and the Kids,58lyF4XIJENuFrTI0W2wXf,Where The Wild Things Are Motion Picture Soundtrack: Original Songs By Karen O And The Kids,"['Karen O', 'The Kids']"
Music Makes Me Happy,Robbi K & Friends,6C9wCCtHaoxiHl4iCHUBQk,Music Makes Me Happy,['Robbi K']
Curious George: A Very Monkey Christmas Soundtrack,Various Artists,53zvnAicj9toCvlNdys4m4,Curious George: A Very Monkey Christmas (Music from the Motion Picture),['Various Artists']
Jake and the Never Land Pirates Soundtrack,Various Artists,1z020VJSXkWimeCcRg9PXa,Songs and Story: Jake and the Never Land Pirates,['Various Artists']
Cars Soundtrack,Various Artists,3Xiz5kq12VOzTw9Kun7m0f,Cars (Original Motion Picture Soundtrack),['Various Artists']
Tinker Bell Soundtrack,Various Artists,2bivDo4QkwN3nd36VRF42y,Tinker Bell,['Various Artists']
Tinker Bell and the Lost Treasure Soundtrack,Various Artists,2bmC1y0UuklT3SOxte9RfA,Tinker Bell and the Lost Treasure,['Various Artists']
The Princess and the Frog Soundtrack,Various Artists,0CcL28OkH89kjgKpNZC8sW,The Princess and the Frog (Original Motion Picture Soundtrack),['Various Artists']
Curious George 2: Follow That Monkey Soundtrack,Various Artists,1Fhi5zJ6OllCSSHiWTuqkp,Curious George 2: Follow That Monkey (Music from the Motion Picture),['Various Artists']
Rhythm Train,"Leslie Bixler, Chad Smith, Dick Van Dyke",6exkcsUaErWb7zgfXlAvBv,Rhythm Train,"['Chad Smith', 'Leslie Bixler']"
Cars 2 Soundtrack,Various Artists,3GJM6mv4riGX4gPM6goLk3,Cars 2 (Original Soundtrack),['Various Artists']
Happy Feet Soundtrack,Various Artists,1GXcXLX1wsk3OPp7nahdtF,Happy Feet Music From the Motion Picture,['Various Artists']
Enchanted Soundtrack,Various Artists,3juYz5KfvUJYunlI3caxIc,Enchanted,['Various Artists']
Phineas and Ferb Soundtrack,Various Artists,1mwUxOieg2GvQn4wm5bJR1,Phineas and Ferb,['Various Artists']
Tangled Soundtrack,"Mandy Moore, Various Artists",1l0aFrH24oPrQSqGtfeFyE,Tangled,['Various Artists']
The Best of the Lion King (Soundtrack),Various Artists,5EO256HkMvwThD1boDbCs7,Best of The Lion King,['Various Artists']
Happy Feet Two Soundtrack,"Pink, Various Artists",5feOfKkvxgWb8qjcDfLnEA,Happy Feet Two (Music from The Motion Picture) [Deluxe Edition],['Various Artists']
The Cheetah Girls Soundtrack,The Cheetah Girls,10ATF34xwqoGlmm5vsgOSG,The Cheetah Girls 2,['The Cheetah Girls']
Home on the Range Soundtrack,Various Artists,2nCjxuKNXGybB5kPK6mEJ4,Home on the Range (Soundtrack),['Various Artists']
The Princess Diaries 2: Royal Engagement Soundtrack,Various Artists,3JEpyUhDGSO1krZtL07gs7,The Princess Diaries 2: Royal Engagement,['Various Artists']
Shark Tale Movie Soundtrack,Various Artists,3YkyhKDPByuv5vNHgTougM,Shark Tale (Motion Picture Soundtrack),['Various Artists']
Pirates of the Caribbean: Dead Man's Chest Soundtrack,Hans Zimmer,5eQEdvd6pq0uo2pQa56aUH,Pirates of the Caribbean: Dead Man's Chest (Original Motion Picture Soundtrack),['Hans Zimmer']
Jump In! Soundtrack,Various Artists,5qBqBaLFrdc5sdd1lMHjuY,Jump In,['Various Artists']
A Cinderella Story Soundtrack,Various Artists,5fDujJMK88H9vZYRjVb2Bz,A Cinderella Story: Once Upon A Song (Original Motion Picture Soundtrack),['Various Artists']
Pirates of the Caribbean Soundtrack,Various Artists,241F2pNbl6OIJPixynRuiu,Pirates of the Caribbean: At World's End,['Various Artists']
The Cheetah Girls 2 Soundtrack,The Cheetah Girls,10ATF34xwqoGlmm5vsgOSG,The Cheetah Girls 2,['The Cheetah Girls']
Kim Possible Soundtrack,Various Artists,611TrABNivsGExe1eqIRur,Songs from Kim Possible (Original Soundtrack),['Various Artists']
Pirates of the Caribbean: At World's End Soundtrack,Hans Zimmer,6wzFJDU0cuXyagi5C0lBXL,Pirates of the Caribbean: At World's End Remixes,['Hans Zimmer']
Hannah Montana Soundtrack,Various Artists,1fc8tPf36cZhNYpNFrWh7o,Hannah Montana The Movie,['Various Artists']
Shrek the Third Soundtrack,Various Artists,3gaTSLg12UA5ksNokkTiMK,Shrek The Third,['Various Artists']
Shrek 2 Soundtrack,Various Artists,009d83fu2guwouIwqr7i9E,Shrek 2 (Original Motion Picture Soundtrack),['Various Artists']
Kit Kittredge: An American Girl Soundtrack,Various Artists,4FAVvweLHhad99Loy0Conl,Kit Kittredge: An American Girl (Original Motion Picture Soundtrack),['Various Artists']
Madagascar 3: Europe's Most Wanted Soundtrack,Various Artists,3xBGPEOCh0In2UbR8Do8jC,Madagascar 3: Europe's Most Wanted (Music From The Motion Picture),['Various Artists']
Hairspray Soundtrack,Various Artists,01K49LryuXVxdy52dD3zd1,Hairspray (Soundtrack To The Motion Picture),['Various Artists']
High School Musical 2 Soundtrack,Various Artists,04Xde0FJSo4LVQ1GE36t49,High School Musical 2 (Original Soundtrack),['Various Artists']
High School Musical Soundtrack,Various Artists,4dOvFkIgrb6b9zCcGfCcci,High School Musical,['Various Artists']
Another Cinderella Story Soundtrack,Various Artists,6Jv7Yo0ihit4JyxvjQLUhb,Another Cinderella Story (Original Motion Picture Soundtrack),['Various Artists']
Wizards of Waverly Place Soundtrack,Various Artists,2aXmfPpn8Hq7B5gxOTxxi4,Wizards of Waverly Place,['Various Artists']
Sharpay's Fabulous Adventure Soundtrack,"Ashley Tisdale, Various Artists",7vDbqYD54hHrZ1yjmPljS4,Sharpay's Fabulous Adventure,['Various Artists']
Never Say Never (The Remixes),Justin Bieber,0wZJCeyfJ0LVrrtH4CwQYw,Never Say Never - The Remixes,['Justin Bieber']
Let It Shine Soundtrack,Various Artists,5Zujo4KiMKCtdIglUha0xR,Let It Shine (Original Soundtrack),['Various Artists']
Brave Soundtrack,Various Artists,7vSvdmI0szfMcn7LyVjp0R,Brave,['Various Artists']
Sonny with a Chance Soundtrack,"Demi Lovato, Various Artists",5OKQ2hFfhDVkwoY0l8cwLD,Sonny With A Chance,['Various Artists']
Camp Rock Soundtrack,"Demi Lovato, Jonas Brothers, Various Artists",1v1i6nqVmLWXKv2a7ByqxJ,Camp Rock,['Various Artists']
Confessions of a Teenage Drama Queen Soundtrack,Various Artists,6jOV118zAEVyknQyHv9mnK,Confessions Of A Teenage Drama Queen,['Various Artists']
The Lizzie McGuire Movie Soundtrack,Various Artists,4DduywjewTFQCcshWzXhMh,The Lizzie McGuire Movie (Original Motion Picture Soundtrack),['Various Artists']
We Shall Overcome: The Seeger Sessions,"B2K, Bruce Springsteen",2O3avtEIE8xX9F0zcIjIZI,We Shall Overcome: The Seeger Sessions (American Land Edition),['Bruce Springsteen']
Dance Revolution,The Slumber Party Girls,2UQ6XhTsTkRvhyy32ArP17,Dance Revolution,['Slumber Party Girls']
Nancy Drew Soundtrack,Various Artists,6VuJi6Ar0JGSUsBjQLb0F2,Nancy Drew (Music From The Motion Picture),['Various Artists']
"Don't Talk, Just Listen",B5,1HRKeoAQL78b4SVxXXmQBc,"Don't Talk, Just Listen",['B5']
Mamma Mia! Soundtrack,Various Artists,1lx7DiPOfZARm0ROECcKFL,Mamma Mia,"['Björn Ulvaeus', 'Benny Andersson', 'Various Artists']"
Spectacular! Movie Soundtrack,Spectacular! Cast,16qSrL2izZJhagQiv7S1Qq,Spectacular! (Music from the Nickelodeon Original Movie),['Spectacular! Cast']
StarStruck Soundtrack,Various Artists,3FmqQtzrqovhBNjJfqTjsx,StarStruck,['Various Artists']
A.N.T. Farm Soundtrack,Various Artists,2cVKRV3zYpcaU8Cz8sroUA,A.N.T. Farm,['Various Artists']
"O Brother, Where Art Thou?  Soundtrack",Various Artists,7gzX88qS3Vx2r87g5pbdfJ,"O Brother, Where Art Thou? (Original Motion Picture Soundtrack)",['Various Artists']
The Harder They Come Soundtrack,Various Artists,4pNKVvqlhP4PYa7pedAAx7,"The Harder They Come, Pt. 1 (Invasion Tactics)",['Various Artists']
A Hard Day's Night Soundtrack,The Beatles,6wCttLq0ADzkPgtRnUihLV,A Hard Day's Night (Remastered),['The Beatles']
Help! Soundtrack,The Beatles,0PT5m6hwPRrpBwIHVnvbFX,Help! (Remastered),['The Beatles']
Stand by Me Original Motion Picture Soundtrack,Various Artists,0Yk5DkDnqOtzPuBzTs6fti,Stand By Me [Original Motion Picture Soundtrack],['Various Artists']
Teen Beach Movie Soundtrack,Various Artists,1g0o05ehdpvoEYfhMXvW9P,Teen Beach 2 (Original TV Movie Soundtrack),['Various Artists']
Prom Soundtrack,Various Artists,5RGlGaK1Uz9QOT09BKNbSU,PROM,['Various Artists']
Don't Forget,Demi Lovato,0X4XyC6gwsBtEO2iJlSJgw,Don't Forget,['Demi Lovato']
The Fighting Temptations Soundtrack,Various Artists,3w4b3oRDOCFaig5HfSLRmq,The Fighting Temptations (Music From The Motion Picture),['Various Artists']
Widdecombe Fair,"Bill Shute, David Jones",1LL23OcbXgMWrjHkmPTBKo,Widdecombe Fair,"['David Jones', 'Bill Shute']"
