Album_Name,Artist,Track_ID,Track_Name_Spotify,Artists_Spotify
"""All Is Love"" (CD single)",Karen O and the Kids,6SExQ9H4mX00FIhjffFM2z,All Is Love,"['Karen O', 'The Kids']"
"""Wash Your Hands"" (CD single)",Bill Harley,5gzOuRPg48fglThPc84goP,Wash Your Hands,['Bill Harley']
"""Just Like a Rockstar"" (CD Single)",The Fresh Beat Band,1b8NAn2ehmesKq4luLIfAc,Just Like A Rockstar,['The Fresh Beat Band']
"""Kung Fu Fighting"" (CD single)","Cee-Lo Green, Jack Black",7eGAQnxbIHHFtS1p9rmAZ0,Kung Fu Fighting,"['CeeLo Green', 'Jack Black']"
I Thought I Lost You (CD single),"John Travolta, Miley Cyrus",2Hlf0en29gylVvAPIFMRte,I Thought I Lost You - Soundtrack,"['Miley Cyrus', 'John Travolta']"
"""The Glow"" (CD Single)",Shannon Saunders,51GfZO5KgkHKO9Q7NwddVh,The Glow,['Shannon Saunders']
"""Sneakernight"" (CD Single)",Vanessa Hudgens,5qaxeIJLARExwa34d9TuYp,Sneakernight - Single Version,['Vanessa Hudgens']
"""Wake Up"" (CD single)",Sliimy,0WJAU6Psau5kWcmflgWJlK,Wake Up,['Sliimy']
"""Bully Bully"" (CD Single)",Shine And The Moonbeams,0OBPzFSVlNzW4a4GUsGPN8,Bully Bully,['Shine and the Moonbeams']
"""Leave It All to Me"" (CD single)",Miranda Cosgrove,7CMIy0uwXyeBv2MvaEUJM1,Leave It All To Me (Theme from iCarly) (feat. Drake Bell),"['Miranda Cosgrove', 'Drake Bell']"
"""Run It Back Again"" (CD single)",Corbin Bleu,6xUKBgEIjPOOHZjkdlttWk,Run It Back Again,['Corbin Bleu']
"""Cruella de Vil"" (CD single)",Selena Gomez,0PQ8MsAxETdEW3LigpDujI,Cruella De Vil - Original Version,['Selena Gomez']
"""Play My Music"" (CD single)",Jonas Brothers,5MTQbjkMmE6WsDQ8JlyEVo,Play My Music,['Jonas Brothers']
"""The Time of My Life"" (CD single)",David Cook,6avyV3xlz2UFeiAUZ0SqyT,The Time of My Life,['David Cook']
"""Cheetah Love"" (CD single)",The Cheetah Girls,2bfGwW35pcxYvTbugPFyIn,Cheetah Love - Soundtrack,['The Cheetah Girls']
"""Live Like There's No Tomorrow"" (CD single)",Selena Gomez,5SiH2PRbrf0FG71IkP7SNe,Live Like There's No Tomorrow,['Selena Gomez & The Scene']
"""Happy"" (CD Single)",Pharrell,60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",['Pharrell Williams']
"""Everything Is AWESOME!!! (feat. The Lonely Island)"" (CD Single)",Tegan and Sara,58vnVBWfKWIjSVvKTZJly2,Everything Is AWESOME!!! (feat. The Lonely Island),"['Tegan and Sara', 'The Lonely Island']"
"""What Time Is It?"" (CD single)",Various Artists,4asv9A1lDbr4UBBNohfqSN,What Time Is It? - Never Get Caught...,['Various Artists']
"""Now or Never"" (CD single)",Various Artists,5RrwYYJuksEzOvhEX4jFS7,Now or Never,"['Various Artists', 'Pressure']"
"""One Time"" (CD Single)",Justin Bieber,6eDApnV9Jdb1nYahOlbbUh,One Time,['Justin Bieber']
"""Love Me"" (CD single)",Justin Bieber,7GRYebvpdR7Fen7pdc8UKz,Love Me,['Justin Bieber']
"""Favorite Girl"" (CD single)",Justin Bieber,4nTjkWK590oBDcnIxTr1mI,Favorite Girl,['Justin Bieber']
"""Baby"" (CD single)",Justin Bieber,2R2fF50UU19DCTY6Qh387j,Baby,"['Justin Bieber', 'Ludacris']"
"""U Smile"" (CD single)",Justin Bieber,6Xw2FLih8m5ItDbyP992HH,U Smile,['Justin Bieber']
"""Eenie Meenie"" (CD single)",Sean Kingston and Justin Bieber,45O0tUN9Bh6LH4eNxQ07AT,Eenie Meenie,['Sean Kingston']
"""Somebody to Love"" (CD single)",Justin Bieber,3rLIv187BhjyweFe89SgLn,Somebody To Love,['Justin Bieber']
"""Pray"" (CD single)",Justin Bieber,3O5zp6tOdGFWi0NdzC0frI,Pray,['Justin Bieber']
"""Never Say Never"" (CD single)","Jaden Smith, Justin Bieber",5GYbkDveRD2I8M5ZJ14hWn,Never Say Never,"['Justin Bieber', 'Jaden']"
"""Who Says"" (CD Single)",Selena Gomez,3TcL0dyCMyr0kyTTc4NLgI,Who Says,['Selena Gomez & The Scene']
"""Friday"" (CD Single)",Rebecca Black,4fK6E2UywZTJIa5kWnCD6x,Friday,['Rebecca Black']
"""Love You Like a Love Song"" (CD Single)",Selena Gomez,0laYHRpNTS6i8FXdupHkJ4,Love You Like A Love Song,['Selena Gomez & The Scene']
"""Advice"" (CD Single)",Christina Grimmie,0cgTeA0QNewEi9lKDqDDjh,Advice,['Christina Grimmie']
"""If I Ruled the World"" (CD Single)",Big Time Rush,4XIdxJBiWXUaQiJY5hlSIx,If I Ruled the World (feat. Iyaz),"['Big Time Rush', 'Iyaz']"
"""Mistletoe"" (CD Single)",Justin Bieber,7xapw9Oy21WpfEcib2ErSA,Mistletoe,['Justin Bieber']
"""The Christmas Song"" (CD Single)","Justin Bieber, Usher",3eYnKe0LhQA1B5HEkQaRTP,The Christmas Song (Chestnuts Roasting On An Open Fire),"['Justin Bieber', 'Usher']"
"""Hit the Lights"" (CD Single)",Selena Gomez,6ciLLh4TkPYDUfNxn2Z0KO,Hit The Lights,['Selena Gomez & The Scene']
"""TTYLXOX"" (CD Single)",Bella Thorne,1nIDYHvLaZnD5lEf66SH80,TTYLXOX,['Bella Thorne']
"""Something to Dance For"" (CD Single)",Zendaya,0WcBvAA59kSYFHeqy0fpZp,Something To Dance For,['Zendaya']
"""Boyfriend"" (CD Single)",Justin Bieber,3UGIZ8qcrMTwzLbx6Kttqt,Boyfriend,['Justin Bieber']
"""All Around the World"" (CD Single)","Justin Bieber, Ludacris",1Mg8vLBYwizu7AuhYQO64V,All Around The World,"['Justin Bieber', 'Ludacris']"
"""As Long as You Love Me"" (CD Single)","Big Sean, Justin Bieber",0pwYLVXVknPSGUQb39cePC,As Long As You Love Me,"['Justin Bieber', 'Big Sean']"
"""Windows Down"" (CD Single)",Big Time Rush,3oLXQgbcC34Oo4gFHCeTmi,Windows Down,['Big Time Rush']
