Track_ID,ISRC,Track_Name,Artists,popularity,preview_url
2FPQI1LRwWszttbRG8hknk,USSM19601624,Games Monsters Play,"['Herry Monster', 'Grover']",6,https://p.scdn.co/mp3-preview/33cc59cc1836954e57231713735ff9c3add17ea1?cid=825f4373e1624b2bbace97b26b56972e
6pOoswwC1lNBI2TapMdaEW,USSM19600385,Afraid of the Dark,['Telly Monster'],6,https://p.scdn.co/mp3-preview/cf340f0b536edadd012bdbc11978f881a514ea9d?cid=825f4373e1624b2bbace97b26b56972e
2EEwSq98rKwlRWT7sNCLRc,USSM19700463,Eensy Weensy Spider,"['Count Von Count', 'The Sesame Street Kids']",10,https://p.scdn.co/mp3-preview/4cdc12aaeb7da4b7fc83da950de8411d33abaccf?cid=825f4373e1624b2bbace97b26b56972e
0FG1XPQfLWKzJbayikwucU,USSM19802703,Be Kind to Your Neighborhood Monsters,['Grover'],6,https://p.scdn.co/mp3-preview/9e0ab5d8ccc7d5cb84f9f0ef42b4b46f579fa5fc?cid=825f4373e1624b2bbace97b26b56972e
54iSv1hlEwenYp3JU40b3T,USSM19802697,Bones (Inside of You),['Count Von Count'],21,https://p.scdn.co/mp3-preview/8e001e241d72270e0e857f0f888f30cb6a2daecb?cid=825f4373e1624b2bbace97b26b56972e
7jet0teuZs6qvKqCbyPHJz,USSM19700091,Hey Little Worm,"['Oscar the Grouch', 'The Sesame Street Grouchketeers']",8,https://p.scdn.co/mp3-preview/ddcacfd61522b06bd6c2db0d147cdaa362c1eeb4?cid=825f4373e1624b2bbace97b26b56972e
6WrhXzHAOaoAzXEH9JpdSt,USSM19802694,Elmo Says Boo!,['Elmo'],9,https://p.scdn.co/mp3-preview/43d60f06c660e5e5a2320fbb45c3f5eaa2765aae?cid=825f4373e1624b2bbace97b26b56972e
5FKpaI9yam3L60a0ByTwl1,USSM19501849,Batty Bat,"['Count Von Count', 'Ftatateeta & The Bats']",8,https://p.scdn.co/mp3-preview/3e749044051f5e48a466082bbd8030dc6ee03b24?cid=825f4373e1624b2bbace97b26b56972e
3EnSuMOOHL5k3eRAn0Sov2,USSJE1000930,S: Sammy the Snake,"[""Sesame Street's Sammy""]",5,https://p.scdn.co/mp3-preview/9ea008c41d2a969cb6c71e0d0f3cab5dbb42ecd5?cid=825f4373e1624b2bbace97b26b56972e
21dqojbKbCAJOgNkW7HLat,USSM19500703,Monster in the Mirror,['Grover'],9,https://p.scdn.co/mp3-preview/f72f2ab20d18c599a7ea9f463e55431fddd0d302?cid=825f4373e1624b2bbace97b26b56972e
1R9keuRKWairWxhTWVK9ro,AUAB00600173,We Like to Say Hello,['The Wiggles'],18,https://p.scdn.co/mp3-preview/d650d957413b39aba6167beb267fbc47410868ba?cid=825f4373e1624b2bbace97b26b56972e
4Byh7i8cCIXFQr4wH2zhjV,AUAB00600174,Henry's Underwater Big Band,['The Wiggles'],19,https://p.scdn.co/mp3-preview/16b21af6d60aeb4e353a0aa9c772679c35cb9957?cid=825f4373e1624b2bbace97b26b56972e
0Mf40Pk0kiRRPaKiF6YUIQ,AUAB00600175,Introduction to Having Fun at the Beach,['The Wiggles'],0,https://p.scdn.co/mp3-preview/d6b508ec2ee3ed87e95f63fd243d2d538cabd396?cid=825f4373e1624b2bbace97b26b56972e
